# кадр	t_круга_с	S_игры_м	скорость_кмч   (laptime.py; S — от линии старта игры, t ±0.03 с)
1	-0.53	4286	253
2	-0.03	4322	263
3	0.47	4359	273
4	0.97	35	280
5	1.47	74	285
6	1.97	114	292
7	2.47	155	297
8	2.97	196	301
9	3.47	238	303
10	3.97	281	307
11	4.47	324	310
12	4.97	367	312
13	5.47	410	314
14	5.97	454	315
15	6.47	498	312
16	6.97	535	226
17	7.47	562	159
18	7.97	581	125
19	8.47	598	109
20	8.97	613	97
21	9.47	627	96
22	9.97	642	104
23	10.47	657	117
24	10.97	675	137
25	11.47	696	165
26	11.97	722	186
27	12.47	749	207
28	12.97	779	224
29	13.47	811	237
30	13.97	845	251
31	14.47	881	261
32	14.97	918	271
33	15.47	957	279
34	15.97	996	287
35	16.47	1033	239
36	16.97	1063	184
37	17.47	1087	154
38	17.97	1107	137
39	18.47	1126	126
40	18.97	1143	124
41	19.47	1162	134
42	19.97	1182	153
43	20.47	1205	176
44	20.97	1230	192
45	21.47	1258	212
46	21.97	1289	224
47	22.47	1320	232
48	22.97	1353	240
49	23.47	1387	250
50	23.97	1423	258
51	24.47	1459	266
52	24.97	1496	272
53	25.47	1534	277
54	25.97	1573	282
55	26.47	1612	286
56	26.97	1652	288
57	27.47	1692	289
58	27.97	1732	289
59	28.47	1770	266
60	28.97	1805	247
61	29.47	1839	247
62	29.97	1874	253
63	30.47	1909	259
64	30.97	1944	248
65	31.47	1976	210
66	31.97	2003	180
67	32.47	2026	164
68	32.97	2048	164
69	33.47	2070	169
70	33.97	2094	179
71	34.47	2119	193
72	34.97	2146	208
73	35.47	2176	221
74	35.97	2207	233
75	36.47	2240	245
76	36.97	2274	253
77	37.47	2305	186
78	37.97	2328	144
79	38.47	2346	123
80	38.97	2363	119
81	39.47	2380	119
82	39.97	2398	135
83	40.47	2418	147
84	40.97	2440	169
85	41.47	2465	190
86	41.97	2494	207
87	42.47	2523	215
88	42.97	2553	197
89	43.47	2580	184
90	43.97	2606	184
91	44.47	2632	192
92	44.97	2659	187
93	45.47	2684	178
94	45.97	2709	172
95	46.47	2733	174
96	46.97	2758	185
97	47.47	2785	201
98	47.97	2814	214
99	48.47	2845	229
100	48.97	2878	239
101	49.47	2912	246
102	49.97	2947	254
103	50.47	2982	260
104	50.97	3019	265
105	51.47	3055	254
106	51.97	3089	241
107	52.47	3122	243
108	52.97	3156	247
109	53.47	3190	252
110	53.97	3225	261
111	54.47	3261	269
112	54.97	3299	273
113	55.47	3337	280
114	55.97	3375	284
115	56.47	3414	263
116	56.97	3447	203
117	57.47	3471	148
118	57.97	3490	129
119	58.47	3507	121
120	58.97	3524	126
121	59.47	3542	141
122	59.97	3563	166
123	60.47	3587	183
124	60.97	3614	203
125	61.47	3643	214
126	61.97	3673	209
127	62.47	3699	172
128	62.97	3721	143
129	63.47	3740	120
130	63.97	3756	109
131	64.47	3772	109
132	64.97	3788	114
133	65.47	3805	121
134	65.97	3824	134
135	66.47	3844	151
136	66.97	3867	174
137	67.47	3894	192
138	67.97	3922	207
139	68.47	3952	216
140	68.97	3980	189
141	69.47	4005	168
142	69.97	4028	151
143	70.47	4048	143
144	70.97	4068	147
145	71.47	4089	155
146	71.97	4112	172
147	72.47	4137	191
148	72.97	4164	207
149	73.47	4195	220
150	73.97	4226	232
151	74.47	4258	244
152	74.97	4292	254
153	75.47	4328	263
154	75.97	2	272
155	76.47	40	264
156	76.97	73	213
157	77.47	100	171
158	77.97	120	128
159	78.47	135	95
160	78.97	147	82
161	79.47	159	92
162	79.97	173	106
