# ПОЛОСЫ КРАСКИ У КРОМКИ ХУНГАРОРИНГА — ПО ОНБОАРДУ 2025 (v1.16.10, 09.2026).
# На выходах из поворотов за поребриком лежит полоса краски шириной 3-4 м, дальше
# обычный вылет (или трава). Место — по кадрам онбоарда Леклера (onboard/kadry.tsv,
# ±15 м), ширина — на глаз по кадру, от кромки полотна (поребрик входит в неё).
# Цвета — PAINT в barrier.py, сняты медианой пикселей с кадров: green — тёмная
# бирюзово-зелёная (кадр 61), lime — ярко-зелёная (кадры 80, 111, 141).
# Зона вылета под полосой начинается там, где полоса кончилась (без наложения).
# fromS	toS	сторона	width	цвет	что
655	735	L	3.5	green	T1 выход (кадры 24-25)
1335	1450	L	3.5	green	T3 выход (кадры 48-50)
1990	2085	L	3.0	green	T5 выход, дальний край (кадры 66-69)
2735	2805	L	3.5	green	T9 выход (кадры 96-97)
3090	3170	L	3.5	green	T11 выход, до голубой площадки (кадры 107-108)
3585	3645	L	3.0	green	T12A выход (кадр 123)
1815	1905	R	3.5	green	T4 снаружи (кадры 61-62)
2335	2390	R	5.0	lime	пятно внутри T6 до стены (кадры 79-80)
2590	2660	R	3.0	green	T8 снаружи (кадр 90)
3830	3900	R	3.0	green	выход T13, вдоль въезда на пит-лейн (кадры 135-136)
3995	4070	R	3.0	lime	внутри T14 (кадры 140-142)
