# ЗОНЫ ВЫЛЕТА ХУНГАРОРИНГА — ЗАМЕР ПО СНИМКУ (этап 3, v1.16.7, 09.2026).
# Где зоны нет — трава (основание мира и так травяное: лишняя лента дала бы те же
# пиксели за меш и вызов отрисовки, урок Монреаля). width — от кромки полотна, м;
# «wall» — до барьера (строитель обрежет ленту по нему сам).
# Краска: на снимке (старом) вылеты асфальтовые/бетонные; на онбоарде 2025 часть
# покрашена (T2 синим, полосы у поребриков зелёным, T5 и T12 бирюзой) — здесь это
# асфальт: своей краски под эти цвета в игре нет (решение за владельцем).
# fromS	toS	сторона	тип	width	что
572	775	L	asphalt	wall	T1 снаружи, до шин
1292	1450	L	asphalt	wall	T3 снаружи, до шин
1996	2180	L	asphalt	wall	T5 снаружи (светлый бетон, бирюзовая полоса у кромки)
2350	2447	L	gravel	wall	T6 снаружи — гравий (у кромки тёмный асфальт 2360-2430)
2698	2815	L	asphalt	wall	T9 снаружи
3030	3232	L	asphalt	wall	T11 снаружи
3225	3293	L	asphalt	4.5	мощёная полоса перед трибуной Fan
3486	3655	L	asphalt	wall	T12-12A снаружи
3976	4282	L	asphalt	wall	T14 снаружи и начало прямой
4290	290	R	asphalt	wall	главная прямая: полотно шире нашего, до стены пит-лейна
290	380	R	asphalt	wall	выезд с пит-лейна
380	527	R	asphalt	2.3	полоса выезда, сливается с полотном
1058	1178	R	asphalt	wall	T2 снаружи (в 2025 покрашен синим)
1788	1960	R	asphalt	wall	T4 снаружи (светлый бетон)
2548	2662	R	asphalt	wall	T8 снаружи (светлый бетон)
2915	3010	R	gravel	wall	гравий после T10 (на снимке начинается с +12)
3705	3800	R	asphalt	wall	T13 снаружи
3800	3960	R	asphalt	wall	въезд на пит-лейн
3960	4210	R	asphalt	wall	внутри T14: крашеная площадка до стены пит-лейна
